time,power
1584173336000000000,102
1584173338000000000,101
1584173340000000000,101
1584173342000000000,101
1584173344000000000,102
1584173346000000000,102
1584173348000000000,103
1584173350000000000,103
1584173352000000000,103
1584173354000000000,102
1584173356000000000,104
1584173358000000000,103
1584173360000000000,102
1584173362000000000,102
1584173364000000000,103
1584173366000000000,103
1584173368000000000,102
1584173370000000000,103
1584173372000000000,104
1584173374000000000,102
1584173376000000000,102
1584173378000000000,103
1584173380000000000,103
1584173382000000000,102
1584173384000000000,102
1584173386000000000,102
1584173388000000000,103
1584173390000000000,102
1584173392000000000,102
1584173394000000000,103
1584173396000000000,103
1584173398000000000,102
1584173400000000000,100
1584173402000000000,103
1584173404000000000,101
1584173406000000000,101
1584173408000000000,101
1584173410000000000,101
1584173412000000000,104
1584173414000000000,103
1584173416000000000,104
1584173418000000000,103
1584173420000000000,100
1584173422000000000,104
1584173424000000000,102
1584173426000000000,103
1584173428000000000,102
1584173430000000000,110
1584173432000000000,110
1584173434000000000,108
1584173436000000000,112
1584173438000000000,110
1584173440000000000,109
1584173442000000000,110
1584173444000000000,110
1584173446000000000,108
1584173448000000000,108
1584173450000000000,108
1584173452000000000,109
1584173454000000000,110
1584173456000000000,109
1584173458000000000,109
1584173460000000000,111
1584173462000000000,109
1584173464000000000,108
1584173466000000000,110
1584173468000000000,109
1584173470000000000,108
1584173472000000000,109
1584173474000000000,110
1584173476000000000,110
1584173478000000000,111
1584173480000000000,109
1584173482000000000,109
1584173484000000000,108
1584173486000000000,110
1584173488000000000,111
1584173490000000000,109
1584173492000000000,110
1584173494000000000,111
1584173496000000000,109
1584173498000000000,109
1584173500000000000,109
1584173502000000000,110
1584173504000000000,109
1584173506000000000,110
1584173508000000000,110
1584173510000000000,110
1584173512000000000,110
1584173514000000000,109
1584173516000000000,108
1584173518000000000,110
1584173520000000000,109
1584173522000000000,110
1584173524000000000,109
1584173526000000000,109
1584173528000000000,110
1584173530000000000,110
1584173532000000000,108
1584173534000000000,109
